x,y
-40,35
-40,36
-39,36
-40,36
-41,36
-41,35
-41,34
-41,35
-40,35
-39,35
-38,35
-38,36
-39,36
-39,35
-40,35
-40,36
-40,35
-40,34
-39,34
-40,34
-40,33
-39,33
-39,34
-39,35
-39,34
-39,35
-39,36
-39,37
-39,36
-39,35
-40,35
-41,35
-42,35
-42,34
-43,34
-44,34
-44,33
-45,33
-46,33
-47,33
-46,33
-45,33
-45,32
-46,32
-46,31
-46,32
-47,32
-48,32
-48,33
-48,32
-49,32
-50,32
-49,32
-50,32
-51,32
-52,32
-53,32
-54,32
-54,31
-54,30
-54,29
-54,30
-54,31
-55,31
-55,30
-55,31
-56,31
-56,30
-55,30
-55,31
-54,31
-54,32
-55,32
-55,33
-54,33
-55,33
-54,33
-54,34
-54,35
-54,36
-55,36
-54,36
-54,37
-54,38
-53,38
-53,39
-53,40
-53,41
-52,41
-52,42
-53,42
-52,42
-52,43
-52,44
-52,45
-52,46
-53,46
-53,47
-53,48
-53,49
-53,50
-52,50
-52,49
-52,48
-52,49
-51,49
-50,49
-49,49
-49,50
-49,51
-49,50
-50,50
-49,50
-48,50
-48,49
-49,49
-50,49
-50,48
-50,47
-50,46
-49,46
-48,46
-49,46
-48,46
-48,45
-48,46
-48,47
-48,48
-48,47
-49,47
-49,48
-50,48
-49,48
-49,49
-50,49
-51,49
-51,48
-50,48
-50,49
-49,49
-48,49
-47,49
-46,49
-46,50
-47,50
-48,50
-48,49
-47,49
-48,49
-49,49
-50,49
-50,48
-51,48
-51,49
-50,49
-49,49
-50,49
-50,50
-49,50
-50,50
-50,49
-50,48
-51,48
-50,48
-51,48
-50,48
-50,47
-51,47
-52,47
-53,47
-53,46
-52,46
-51,46
-51,47
-51,48
-51,47
-52,47
-53,47
-54,47
-54,48
-53,48
-53,47
-52,47
-53,47
-54,47
-55,47
-55,46
-55,45
-55,46
-55,45
-56,45
-55,45
-55,46
-55,45
-54,45
-55,45
-54,45
-54,44
-55,44
-56,44
-56,43
-57,43
-57,44
-58,44
-59,44
-59,43
-59,42
-58,42
-58,41
-58,42
-59,42
-59,41
-59,40
-59,39
-59,38
-58,38
-59,38
-59,39
-59,40
-59,41
-60,41
-60,42
-61,42
-60,42
-59,42
-60,42
-61,42
-61,43
-62,43
-61,43
-62,43
-62,44
-61,44
-60,44
-60,43
-59,43
-58,43
-59,43
-59,44
-59,43
-60,43
-60,42
-61,42
-62,42
-63,42
-63,41
-63,40
-63,41
-64,41
-63,41
-62,41
-61,41
-61,40
-61,41
-61,40
-61,39
-62,39
-61,39
-61,40
-62,40
-61,40
-61,39
-60,39
-60,38
-60,37
-61,37
-62,37
-63,37
-63,38
-63,39
-63,38
-62,38
-61,38
-60,38
-59,38
-59,39
-58,39
-57,39
-57,40
-57,39
-57,38
-58,38
-59,38
-60,38
-61,38
-61,39
-61,40
-61,39
-61,38
-62,38
-62,39
-61,39
-60,39
-61,39
-61,38
-60,38
-59,38
-59,37
-58,37
-57,37
-57,38
-57,37
-56,37
-57,37
-57,38
-58,38
-59,38
-59,39
-60,39
-60,40
-60,39
-60,38
-59,38
-59,37
-59,38
-59,39
-58,39
-59,39
-59,38
-59,39
-58,39
-59,39
-58,39
-57,39
-57,40
-56,40
-56,41
-56,40
-56,41
-56,42
-55,42
-54,42
-55,42
-55,43
-56,43
-56,42
-57,42
-56,42
-56,41
-56,42
-55,42
-55,43
-55,44
-54,44
-54,43
-54,44
-54,43
-53,43
-52,43
-51,43
-50,43
-50,42
-50,41
-51,41
-51,40
-52,40
-52,39
-53,39
-54,39
-54,40
-54,41
-54,42
