0.038 0.00773549 -0.992265 -0.000135134 0.207233 0.207219 -0.00720489 1.01113 0.00732938 -0.99593 0.285535 0.185562 0.11441
0.039 0.00794282 -0.992057 -0.000142435 0.207426 0.207411 -0.00739676 1.01141 0.00751475 -0.995815 0.285148 0.185177 0.114794
0.04 0.00815034 -0.99185 -0.000149928 0.207619 0.207604 -0.00758862 1.0117 0.00769973 -0.9957 0.284761 0.184792 0.115177
0.041 0.00835805 -0.991642 -0.000157612 0.207813 0.207797 -0.00778046 1.01198 0.00788433 -0.995585 0.284374 0.184407 0.115561
0.042 0.00856596 -0.991434 -0.000165489 0.208006 0.207989 -0.00797229 1.01227 0.00806855 -0.995469 0.283987 0.184021 0.115945
0.043 0.00877407 -0.991226 -0.000173557 0.2082 0.208182 -0.00816412 1.01255 0.00825238 -0.995353 0.283601 0.183636 0.116328
0.044 0.00898236 -0.991018 -0.000181817 0.208393 0.208375 -0.00835593 1.01284 0.00843582 -0.995236 0.283214 0.183251 0.116712
0.045 0.00919085 -0.990809 -0.000190269 0.208587 0.208567 -0.00854774 1.01312 0.00861888 -0.995119 0.282827 0.182866 0.117095
0.046 0.00939954 -0.990601 -0.000198913 0.20878 0.20876 -0.00873953 1.0134 0.00880155 -0.995002 0.282439 0.18248 0.117479
0.047 0.00960841 -0.990392 -0.000207748 0.208974 0.208953 -0.00893132 1.01368 0.00898384 -0.994885 0.282052 0.182095 0.117863
0.048 0.00981748 -0.990183 -0.000216775 0.209167 0.209145 -0.00912309 1.01397 0.00916574 -0.994766 0.281665 0.181709 0.118246
0.049 0.0100267 -0.989974 -0.000225994 0.209361 0.209338 -0.00931486 1.01425 0.00934726 -0.994648 0.281278 0.181324 0.11863
0.05 0.0102362 -0.989764 -0.000235405 0.209555 0.209531 -0.00950662 1.01453 0.00952839 -0.994529 0.28089 0.180939 0.119013
0.051 0.0104459 -0.989555 -0.000245007 0.209748 0.209723 -0.00969837 1.01481 0.00970913 -0.99441 0.280503 0.180553 0.119397
0.052 0.0106557 -0.989345 -0.000254802 0.209942 0.209916 -0.00989011 1.01509 0.00988949 -0.99429 0.280116 0.180168 0.11978
0.053 0.0108657 -0.989135 -0.000264788 0.210136 0.210109 -0.0100818 1.01537 0.0100695 -0.99417 0.279728 0.179782 0.120164
0.054 0.011076 -0.988925 -0.000274965 0.21033 0.210302 -0.0102736 1.01565 0.0102491 -0.99405 0.279341 0.179397 0.120547
0.055 0.0112864 -0.988714 -0.000285335 0.210524 0.210494 -0.0104653 1.01593 0.0104283 -0.993929 0.278953 0.179011 0.120931
0.056 0.011497 -0.988504 -0.000295896 0.210717 0.210687 -0.010657 1.01621 0.0106071 -0.993808 0.278565 0.178626 0.121314
